Database Mgmt,mon at 10 to 11
MOBILE APPS,mon at 12 to 14
GRAPH THEORY,mon at 14 to 15
Software Testing,mon at 16 to 18
SERVER SIDE RAD,mon at 16 to 18
Database Mgmt,tue at 9 to 11
Software Testing,tue at 9 to 11
MOBILE APPS,tue at 11 to 13
Database Mgmt,tue at 11 to 13
GRAPH THEORY,tue at 12 to 13
Software Testing,tue at 14 to 16
SERVER SIDE RAD,tue at 16 to 18
GRAPH THEORY,wen at 9 to 10
GRAPH THEORY,wen at 10 to 11
SERVER SIDE RAD,wen at 13 to 14
Software Testing,wen at 14 to 15
Software Testing,wen at 15 to 16
Database Mgmt,wen at 16 to 17
MOBILE APPS,thu at 9 to 11
MOBILE APPS,thu at 11 to 13
SERVER SIDE RAD,thu at 14 to 16
Database Mgmt,fri at 9 to 11
GRAPH THEORY,fri at 11 to 12